Details,Posting Date,Description,Amount,Category
DEBIT,01/15/2025,CHICK-FIL-A #0456,-13.93,Dining
DEBIT,01/15/2025,DOORDASH INC CA,-38.67,Dining
DEBIT,01/15/2025,GOOGLE ONE,-2.99,Subscription
DEBIT,01/15/2025,IN-N-OUT BURGER #52,-15.45,Dining
DEBIT,01/16/2025,AMAZON MKTPL*KC8J13B,-85.64,Shopping
DEBIT,01/18/2025,LYFT,-34.26,Transport
DEBIT,01/18/2025,NIKE.COM,-79.96,Shopping
DEBIT,01/18/2025,STARBUCKS STORE 12847,-8.77,Dining
DEBIT,01/19/2025,CHICK-FIL-A #0456,-15.81,Dining
DEBIT,01/19/2025,H MART SAN JOSE,-127.24,Grocery
DEBIT,01/20/2025,APPLE STORE PALO ALTO,-258.19,Shopping
DEBIT,01/20/2025,STARBUCKS STORE 10726,-4.72,Dining
DEBIT,01/21/2025,AMAZON MKTPL*FA67H8C,-33.19,Shopping
DEBIT,01/21/2025,CVS PHARMACY,-8.86,Healthcare
DEBIT,01/21/2025,STARBUCKS STORE 12847,-5.57,Dining
DEBIT,01/22/2025,SHELL OIL,-48.85,Transport
DEBIT,01/23/2025,SPOTIFY USA,-11.99,Entertainment
DEBIT,01/24/2025,CHIPOTLE 1845 SAN JOSE CA,-13.77,Dining
DEBIT,01/25/2025,LYFT,-21.12,Transport
DEBIT,01/25/2025,Nintendo 800-2553700,-43.79,Entertainment
DEBIT,01/25/2025,UBER *TRIP SAN JOSE,-30.01,Transport
DEBIT,01/25/2025,WL *STEAM PURCHASE,-51.02,Entertainment
CREDIT,01/25/2025,Online Transfer from SAV ...2205,1000,Transfer
DEBIT,01/26/2025,IN-N-OUT BURGER #52,-9.93,Dining
DEBIT,01/26/2025,Zelle payment to FRIEND 5,-66.53,Transfer
DEBIT,01/27/2025,SAFEWAY #1831,-85.19,Grocery
DEBIT,01/27/2025,UBER *TRIP SAN JOSE,-25.97,Transport
DEBIT,01/28/2025,CHIPOTLE 1845 SAN JOSE CA,-20.42,Dining
DEBIT,01/28/2025,WL *STEAM PURCHASE,-16.13,Entertainment
DEBIT,01/29/2025,Amazon.com*8B0IP92E3,-53.63,Shopping
DEBIT,01/30/2025,CHEVRON,-46.47,Transport
DEBIT,01/31/2025,H MART SAN JOSE,-77.56,Grocery
DEBIT,01/31/2025,IN-N-OUT BURGER #52,-11.41,Dining
DEBIT,02/01/2025,ACH DEBIT GREYSTAR PROPERTY,-3000,Housing
DEBIT,02/01/2025,H MART SAN JOSE,-58.68,Grocery
DEBIT,02/02/2025,AMAZON MKTPL*FA67H8C,-146.22,Shopping
DEBIT,02/02/2025,CALTRAIN,-7.48,Transport
DEBIT,02/02/2025,OPENAI *CHATGPT,-20,Subscription
DEBIT,02/02/2025,STARBUCKS STORE 12847,-9.36,Dining
DEBIT,02/02/2025,UBER *EATS HELP.UBER.COM CA,-19.95,Dining
DEBIT,02/03/2025,Amazon.com*8B0IP92E3,-49.74,Shopping
DEBIT,02/03/2025,COSTCO WHSE #0101,-96.09,Shopping
DEBIT,02/03/2025,WL *STEAM PURCHASE,-43.77,Entertainment
DEBIT,02/05/2025,NIKE.COM,-171.29,Shopping
DEBIT,02/05/2025,PG&E PAYMENT,-90.77,Utilities
DEBIT,02/06/2025,STARBUCKS STORE 10726,-4.84,Dining
DEBIT,02/06/2025,UBER *EATS HELP.UBER.COM CA,-23.98,Dining
DEBIT,02/06/2025,WHOLE FOODS MARKET,-107.38,Grocery
DEBIT,02/07/2025,CHICK-FIL-A #0456,-17.78,Dining
DEBIT,02/07/2025,WHOLE FOODS MARKET,-63.33,Grocery
DEBIT,02/07/2025,WHOLE FOODS MARKET,-60.45,Grocery
DEBIT,02/07/2025,XFINITY INTERNET,-80,Utilities
DEBIT,02/08/2025,SAFEWAY #1831,-56.38,Grocery
DEBIT,02/08/2025,TARGET T-2189,-43.15,Shopping
DEBIT,02/09/2025,NIKE.COM,-67.88,Shopping
DEBIT,02/09/2025,STARBUCKS STORE 12847,-8.63,Dining
DEBIT,02/09/2025,TARGET T-3051,-19.91,Shopping
DEBIT,02/09/2025,WHOLE FOODS MARKET,-76.12,Grocery
DEBIT,02/10/2025,AMZN.COM/BILL WA,-42.23,Shopping
DEBIT,02/10/2025,AT&T MOBILITY,-75,Utilities
DEBIT,02/10/2025,NIKE.COM,-71.51,Shopping
CREDIT,02/11/2025,Zelle payment from FRIEND 3,95.24,Transfer
DEBIT,02/12/2025,STARBUCKS STORE 10726,-9.38,Dining
DEBIT,02/15/2025,GOOGLE ONE,-2.99,Subscription
DEBIT,02/15/2025,STARBUCKS STORE 10726,-6.4,Dining
DEBIT,02/16/2025,STARBUCKS STORE 10726,-4.56,Dining
DEBIT,02/16/2025,TRADER JOE'S #123,-41.99,Grocery
DEBIT,02/17/2025,AMAZON MKTPL*KC8J13B,-67.56,Shopping
DEBIT,02/17/2025,TARGET T-3051,-72.51,Shopping
DEBIT,02/18/2025,Amazon.com*8B0IP92E3,-76.44,Shopping
DEBIT,02/18/2025,STARBUCKS STORE 12847,-7.21,Dining
DEBIT,02/19/2025,AIRBNB,-356.74,Travel
DEBIT,02/19/2025,CALTRAIN,-7.63,Transport
DEBIT,02/19/2025,CHIPOTLE 1845 SAN JOSE CA,-12.16,Dining
DEBIT,02/20/2025,SAFEWAY #1831,-78.38,Grocery
DEBIT,02/21/2025,LYFT,-30.48,Transport
DEBIT,02/21/2025,UBER *EATS HELP.UBER.COM CA,-18.07,Dining
DEBIT,02/21/2025,UBER *EATS HELP.UBER.COM CA,-21.48,Dining
DEBIT,02/22/2025,AMAZON MKTPL*FA67H8C,-77.14,Shopping
DEBIT,02/22/2025,BEST BUY #000123,-199.82,Shopping
DEBIT,02/22/2025,STARBUCKS STORE 12847,-9.37,Dining
DEBIT,02/22/2025,UBER *EATS HELP.UBER.COM CA,-18.58,Dining
DEBIT,02/23/2025,CHICK-FIL-A #0456,-11.72,Dining
DEBIT,02/23/2025,CHIPOTLE 1845 SAN JOSE CA,-20.02,Dining
DEBIT,02/24/2025,AMAZON MKTPL*FA67H8C,-129.89,Shopping
DEBIT,02/24/2025,PANDA EXPRESS #221,-14.69,Dining
DEBIT,02/25/2025,CALTRAIN,-8.22,Transport
CREDIT,02/25/2025,Online Transfer from SAV ...2205,1000,Transfer
DEBIT,02/26/2025,AMAZON MKTPL*FA67H8C,-115.83,Shopping
DEBIT,02/26/2025,DOORDASH INC CA,-41.68,Dining
DEBIT,02/27/2025,AMZN.COM/BILL WA,-10.34,Shopping
DEBIT,02/27/2025,Amazon.com*8B0IP92E3,-76.3,Shopping
DEBIT,02/27/2025,STARBUCKS STORE 10726,-8.1,Dining
DEBIT,02/28/2025,SPOTIFY USA,-11.99,Entertainment
DEBIT,03/01/2025,ACH DEBIT GREYSTAR PROPERTY,-3000,Housing
DEBIT,03/01/2025,STARBUCKS STORE 12847,-6.83,Dining
DEBIT,03/02/2025,OPENAI *CHATGPT,-20,Subscription
DEBIT,03/02/2025,TRADER JOE'S #123,-30.54,Grocery
DEBIT,03/02/2025,WHOLE FOODS MARKET,-88.03,Grocery
DEBIT,03/03/2025,AMAZON MKTPL*KC8J13B,-55.07,Shopping
DEBIT,03/03/2025,CHIPOTLE 1845 SAN JOSE CA,-19.01,Dining
DEBIT,03/04/2025,Amazon.com*8B0IP92E3,-59.52,Shopping
DEBIT,03/05/2025,CHICK-FIL-A #0456,-11.49,Dining
DEBIT,03/05/2025,NIKE.COM,-63.86,Shopping
DEBIT,03/05/2025,PG&E PAYMENT,-70.26,Utilities
DEBIT,03/06/2025,IN-N-OUT BURGER #52,-10.25,Dining
DEBIT,03/07/2025,XFINITY INTERNET,-80,Utilities
DEBIT,03/08/2025,AMAZON MKTPL*KC8J13B,-93.12,Shopping
DEBIT,03/08/2025,Zelle payment to FRIEND 3,-30.29,Transfer
DEBIT,03/09/2025,AMC THEATRES,-21.49,Entertainment
DEBIT,03/10/2025,AT&T MOBILITY,-75,Utilities
DEBIT,03/11/2025,APPLE STORE PALO ALTO,-361.58,Shopping
DEBIT,03/11/2025,CHIPOTLE 1845 SAN JOSE CA,-21.5,Dining
DEBIT,03/11/2025,Nintendo 800-2553700,-20.62,Entertainment
DEBIT,03/13/2025,APPLE STORE PALO ALTO,-350.56,Shopping
DEBIT,03/13/2025,TARGET T-3051,-112.63,Shopping
DEBIT,03/13/2025,WL *STEAM PURCHASE,-15.94,Entertainment
DEBIT,03/14/2025,DOORDASH INC CA,-22.67,Dining
DEBIT,03/14/2025,HILTON HOTELS,-392.68,Travel
DEBIT,03/15/2025,AMC THEATRES,-18.62,Entertainment
DEBIT,03/15/2025,CHICK-FIL-A #0456,-10.93,Dining
DEBIT,03/15/2025,CHICK-FIL-A #0456,-14.73,Dining
DEBIT,03/15/2025,GOOGLE ONE,-2.99,Subscription
DEBIT,03/16/2025,IN-N-OUT BURGER #52,-11.06,Dining
DEBIT,03/16/2025,NIKE.COM,-36.4,Shopping
DEBIT,03/16/2025,WL *STEAM PURCHASE,-44.53,Entertainment
DEBIT,03/17/2025,AMAZON MKTPL*FA67H8C,-12.96,Shopping
DEBIT,03/17/2025,APPLE STORE PALO ALTO,-337.97,Shopping
DEBIT,03/17/2025,NIKE.COM,-153.93,Shopping
DEBIT,03/18/2025,AMAZON PRIME MEMBERSHIP,-139,Subscription
DEBIT,03/18/2025,STARBUCKS STORE 12847,-8.33,Dining
DEBIT,03/18/2025,TRADER JOE'S #123,-63.97,Grocery
CREDIT,03/18/2025,Zelle payment from FRIEND 1,26.86,Transfer
DEBIT,03/19/2025,STARBUCKS STORE 10726,-5.61,Dining
DEBIT,03/19/2025,TARGET T-3051,-48.69,Shopping
DEBIT,03/20/2025,Amazon.com*8B0IP92E3,-87.05,Shopping
DEBIT,03/20/2025,TRADER JOE'S #123,-35.61,Grocery
DEBIT,03/21/2025,BEST BUY #000123,-138.84,Shopping
DEBIT,03/21/2025,WL *STEAM PURCHASE,-36.38,Entertainment
DEBIT,03/22/2025,APPLE STORE PALO ALTO,-180.21,Shopping
DEBIT,03/22/2025,UBER *TRIP SAN JOSE,-30.31,Transport
DEBIT,03/22/2025,WALGREENS,-12.54,Healthcare
CREDIT,03/22/2025,Zelle payment from FRIEND 4,80.95,Transfer
DEBIT,03/23/2025,DOORDASH INC CA,-18.28,Dining
DEBIT,03/24/2025,AMAZON MKTPL*KC8J13B,-188.43,Shopping
DEBIT,03/24/2025,BEST BUY #000123,-310.39,Shopping
DEBIT,03/25/2025,AMC THEATRES,-20.51,Entertainment
DEBIT,03/25/2025,CHIPOTLE 1845 SAN JOSE CA,-13.28,Dining
DEBIT,03/25/2025,COSTCO WHSE #0101,-124.48,Shopping
CREDIT,03/25/2025,Online Transfer from SAV ...2205,1000,Transfer
DEBIT,03/26/2025,SAFEWAY #1831,-44.6,Grocery
DEBIT,03/26/2025,WL *STEAM PURCHASE,-38,Entertainment
DEBIT,03/28/2025,TRADER JOE'S #123,-29.06,Grocery
DEBIT,03/29/2025,COSTCO WHSE #0101,-100.47,Shopping
DEBIT,03/29/2025,DOORDASH INC CA,-30.07,Dining
DEBIT,03/29/2025,H MART SAN JOSE,-63.23,Grocery
DEBIT,03/29/2025,H MART SAN JOSE,-93.49,Grocery
DEBIT,03/30/2025,SPOTIFY USA,-11.99,Entertainment
DEBIT,03/31/2025,CHIPOTLE 1845 SAN JOSE CA,-18.67,Dining
DEBIT,03/31/2025,COSTCO WHSE #0101,-259.44,Shopping
DEBIT,03/31/2025,TARGET T-2189,-70.56,Shopping
DEBIT,04/01/2025,ACH DEBIT GREYSTAR PROPERTY,-3000,Housing
DEBIT,04/02/2025,Amazon.com*8B0IP92E3,-70.38,Shopping
DEBIT,04/02/2025,H MART SAN JOSE,-57.72,Grocery
DEBIT,04/02/2025,IN-N-OUT BURGER #52,-17.67,Dining
DEBIT,04/02/2025,OPENAI *CHATGPT,-20,Subscription
DEBIT,04/03/2025,SPOTIFY USA,-11.99,Entertainment
DEBIT,04/05/2025,AMZN.COM/BILL WA,-55.23,Shopping
DEBIT,04/05/2025,IN-N-OUT BURGER #52,-17.21,Dining
DEBIT,04/05/2025,PANDA EXPRESS #221,-15.83,Dining
DEBIT,04/05/2025,PG&E PAYMENT,-118.58,Utilities
DEBIT,04/05/2025,UBER *EATS HELP.UBER.COM CA,-32.51,Dining
CREDIT,04/05/2025,TARGET RETURN,51.54,Shopping
DEBIT,04/06/2025,SAFEWAY #1831,-55.99,Grocery
DEBIT,04/06/2025,TRADER JOE'S #123,-32.71,Grocery
DEBIT,04/07/2025,BEST BUY #000123,-296.96,Shopping
DEBIT,04/07/2025,XFINITY INTERNET,-80,Utilities
DEBIT,04/08/2025,AMAZON MKTPL*KC8J13B,-194.21,Shopping
DEBIT,04/08/2025,AMAZON MKTPL*KC8J13B,-200.18,Shopping
DEBIT,04/08/2025,SAFEWAY #1831,-89.25,Grocery
DEBIT,04/10/2025,AT&T MOBILITY,-75,Utilities
DEBIT,04/10/2025,SAFEWAY #1831,-66.67,Grocery
DEBIT,04/11/2025,AMAZON MKTPL*FA67H8C,-43.56,Shopping
DEBIT,04/11/2025,H MART SAN JOSE,-67.63,Grocery
DEBIT,04/11/2025,Nintendo 800-2553700,-23.73,Entertainment
DEBIT,04/12/2025,CALTRAIN,-9.92,Transport
DEBIT,04/12/2025,STARBUCKS STORE 12847,-6.79,Dining
DEBIT,04/12/2025,TARGET T-2189,-15.48,Shopping
DEBIT,04/13/2025,SAFEWAY #1831,-82.51,Grocery
DEBIT,04/13/2025,UNITED AIRLINES,-432.73,Travel
DEBIT,04/14/2025,H MART SAN JOSE,-36.55,Grocery
DEBIT,04/14/2025,H MART SAN JOSE,-101.07,Grocery
DEBIT,04/14/2025,PANDA EXPRESS #221,-17.5,Dining
DEBIT,04/15/2025,AMAZON MKTPL*KC8J13B,-95,Shopping
DEBIT,04/15/2025,Amazon.com*8B0IP92E3,-73.99,Shopping
DEBIT,04/15/2025,GOOGLE ONE,-2.99,Subscription
DEBIT,04/15/2025,WL *STEAM PURCHASE,-26.63,Entertainment
CREDIT,04/15/2025,TARGET RETURN,48.05,Shopping
DEBIT,04/16/2025,STARBUCKS STORE 10726,-5.16,Dining
DEBIT,04/17/2025,COSTCO WHSE #0101,-143.2,Shopping
DEBIT,04/17/2025,TARGET T-2189,-32.68,Shopping
DEBIT,04/19/2025,SAFEWAY #1831,-79.14,Grocery
DEBIT,04/20/2025,Amazon.com*8B0IP92E3,-26.77,Shopping
DEBIT,04/20/2025,CVS PHARMACY,-26.26,Healthcare
DEBIT,04/20/2025,SAFEWAY #1831,-72.3,Grocery
DEBIT,04/20/2025,STARBUCKS STORE 10726,-5.47,Dining
DEBIT,04/23/2025,TRADER JOE'S #123,-35.61,Grocery
DEBIT,04/23/2025,TRADER JOE'S #123,-44.81,Grocery
DEBIT,04/23/2025,WL *STEAM PURCHASE,-43.93,Entertainment
DEBIT,04/24/2025,AMAZON MKTPL*FA67H8C,-146.66,Shopping
DEBIT,04/24/2025,STARBUCKS STORE 12847,-5.43,Dining
CREDIT,04/24/2025,UBER EATS REFUND,21.82,Dining
DEBIT,04/25/2025,CHIPOTLE 1845 SAN JOSE CA,-18.49,Dining
DEBIT,04/25/2025,STARBUCKS STORE 12847,-7.76,Dining
DEBIT,04/25/2025,WL *STEAM PURCHASE,-31.05,Entertainment
CREDIT,04/25/2025,Online Transfer from SAV ...2205,1000,Transfer
DEBIT,04/26/2025,AMC THEATRES,-24.12,Entertainment
DEBIT,04/27/2025,H MART SAN JOSE,-96.16,Grocery
DEBIT,04/27/2025,WALGREENS,-38.14,Healthcare
DEBIT,04/28/2025,COSTCO WHSE #0101,-93.82,Shopping
DEBIT,04/28/2025,WHOLE FOODS MARKET,-47.79,Grocery
DEBIT,04/28/2025,WL *STEAM PURCHASE,-59.03,Entertainment
DEBIT,04/29/2025,UBER *EATS HELP.UBER.COM CA,-13.29,Dining
DEBIT,04/30/2025,APPLE STORE PALO ALTO,-105.39,Shopping
DEBIT,05/01/2025,ACH DEBIT GREYSTAR PROPERTY,-3000,Housing
DEBIT,05/01/2025,SAFEWAY #1831,-74.17,Grocery
DEBIT,05/02/2025,Amazon.com*8B0IP92E3,-93.38,Shopping
DEBIT,05/02/2025,H MART SAN JOSE,-71.75,Grocery
DEBIT,05/02/2025,OPENAI *CHATGPT,-20,Subscription
DEBIT,05/02/2025,TRADER JOE'S #123,-38.47,Grocery
DEBIT,05/03/2025,AMAZON MKTPL*FA67H8C,-44.01,Shopping
DEBIT,05/03/2025,WL *STEAM PURCHASE,-51.79,Entertainment
DEBIT,05/04/2025,IN-N-OUT BURGER #52,-12.13,Dining
DEBIT,05/04/2025,Nintendo 800-2553700,-33.1,Entertainment
DEBIT,05/04/2025,STARBUCKS STORE 10726,-6.85,Dining
DEBIT,05/04/2025,WL *STEAM PURCHASE,-14.23,Entertainment
DEBIT,05/05/2025,AMAZON MKTPL*KC8J13B,-214.72,Shopping
DEBIT,05/05/2025,CHICK-FIL-A #0456,-15.07,Dining
DEBIT,05/05/2025,CHICK-FIL-A #0456,-10.31,Dining
DEBIT,05/05/2025,PG&E PAYMENT,-102.6,Utilities
DEBIT,05/05/2025,UBER *EATS HELP.UBER.COM CA,-37.72,Dining
DEBIT,05/06/2025,CHICK-FIL-A #0456,-15.09,Dining
DEBIT,05/06/2025,STARBUCKS STORE 12847,-9.41,Dining
DEBIT,05/06/2025,UNITED AIRLINES,-554.7,Travel
DEBIT,05/07/2025,KAISER PERMANENTE,-174.51,Healthcare
DEBIT,05/07/2025,XFINITY INTERNET,-80,Utilities
DEBIT,05/08/2025,AMAZON MKTPL*FA67H8C,-95.23,Shopping
DEBIT,05/08/2025,APPLE STORE PALO ALTO,-322.66,Shopping
DEBIT,05/08/2025,H MART SAN JOSE,-86.59,Grocery
DEBIT,05/08/2025,TARGET T-2189,-14.52,Shopping
DEBIT,05/09/2025,IN-N-OUT BURGER #52,-16.3,Dining
DEBIT,05/09/2025,IN-N-OUT BURGER #52,-16.57,Dining
DEBIT,05/09/2025,IN-N-OUT BURGER #52,-11.91,Dining
DEBIT,05/09/2025,STARBUCKS STORE 10726,-5.47,Dining
DEBIT,05/10/2025,AT&T MOBILITY,-75,Utilities
DEBIT,05/10/2025,BEST BUY #000123,-144.19,Shopping
DEBIT,05/10/2025,TRADER JOE'S #123,-52.11,Grocery
DEBIT,05/11/2025,CHICK-FIL-A #0456,-10.45,Dining
DEBIT,05/11/2025,CHIPOTLE 1845 SAN JOSE CA,-18.97,Dining
DEBIT,05/11/2025,H MART SAN JOSE,-95.35,Grocery
DEBIT,05/11/2025,STARBUCKS STORE 12847,-9.46,Dining
DEBIT,05/11/2025,UBER *EATS HELP.UBER.COM CA,-29.08,Dining
DEBIT,05/12/2025,AMAZON MKTPL*FA67H8C,-43.47,Shopping
DEBIT,05/12/2025,Nintendo 800-2553700,-44.58,Entertainment
DEBIT,05/12/2025,SAFEWAY #1831,-93.82,Grocery
DEBIT,05/12/2025,WL *STEAM PURCHASE,-15.87,Entertainment
DEBIT,05/13/2025,CHIPOTLE 1845 SAN JOSE CA,-18.44,Dining
DEBIT,05/13/2025,SPOTIFY USA,-11.99,Entertainment
DEBIT,05/14/2025,H MART SAN JOSE,-97.39,Grocery
DEBIT,05/14/2025,TRADER JOE'S #123,-50.38,Grocery
DEBIT,05/14/2025,TRADER JOE'S #123,-65.91,Grocery
DEBIT,05/14/2025,WHOLE FOODS MARKET,-104.04,Grocery
DEBIT,05/15/2025,BART TICKET,-4.04,Transport
DEBIT,05/15/2025,GOOGLE ONE,-2.99,Subscription
DEBIT,05/15/2025,LYFT,-23.02,Transport
DEBIT,05/15/2025,WALGREENS,-13.31,Healthcare
DEBIT,05/15/2025,WHOLE FOODS MARKET,-45.64,Grocery
DEBIT,05/16/2025,IN-N-OUT BURGER #52,-14.11,Dining
DEBIT,05/17/2025,AMC THEATRES,-16.34,Entertainment
DEBIT,05/17/2025,AMC THEATRES,-18.57,Entertainment
DEBIT,05/17/2025,UBER *TRIP SAN JOSE,-13.92,Transport
DEBIT,05/17/2025,WALGREENS,-11.61,Healthcare
DEBIT,05/17/2025,WL *STEAM PURCHASE,-45.46,Entertainment
DEBIT,05/18/2025,AMC THEATRES,-17.37,Entertainment
DEBIT,05/18/2025,AMZN.COM/BILL WA,-79.97,Shopping
DEBIT,05/18/2025,Nintendo 800-2553700,-67.05,Entertainment
DEBIT,05/18/2025,STARBUCKS STORE 12847,-6.79,Dining
CREDIT,05/18/2025,AMAZON REFUND,76.81,Shopping
DEBIT,05/19/2025,AMAZON MKTPL*KC8J13B,-193.05,Shopping
DEBIT,05/19/2025,PANDA EXPRESS #221,-12.36,Dining
DEBIT,05/20/2025,SAFEWAY #1831,-99.01,Grocery
DEBIT,05/21/2025,PANDA EXPRESS #221,-17.82,Dining
DEBIT,05/22/2025,CHICK-FIL-A #0456,-16.12,Dining
DEBIT,05/22/2025,H MART SAN JOSE,-63.02,Grocery
DEBIT,05/23/2025,BEST BUY #000123,-343.36,Shopping
DEBIT,05/23/2025,Nintendo 800-2553700,-52.65,Entertainment
DEBIT,05/23/2025,SAFEWAY #1831,-93.72,Grocery
DEBIT,05/24/2025,BART TICKET,-9.5,Transport
DEBIT,05/25/2025,H MART SAN JOSE,-91.89,Grocery
CREDIT,05/25/2025,Online Transfer from SAV ...2205,1000,Transfer
DEBIT,05/27/2025,STARBUCKS STORE 10726,-7.02,Dining
DEBIT,05/27/2025,STARBUCKS STORE 12847,-6.63,Dining
DEBIT,05/28/2025,WHOLE FOODS MARKET,-118.45,Grocery
DEBIT,05/29/2025,CHIPOTLE 1845 SAN JOSE CA,-12.86,Dining
DEBIT,05/30/2025,BART TICKET,-5.16,Transport
DEBIT,05/31/2025,DOORDASH INC CA,-31.98,Dining
DEBIT,05/31/2025,UNITED AIRLINES,-363.48,Travel
DEBIT,05/31/2025,WALGREENS,-15.35,Healthcare
DEBIT,05/31/2025,WHOLE FOODS MARKET,-32.43,Grocery
DEBIT,06/01/2025,ACH DEBIT GREYSTAR PROPERTY,-3000,Housing
DEBIT,06/01/2025,CHICK-FIL-A #0456,-14.1,Dining
DEBIT,06/01/2025,CHIPOTLE 1845 SAN JOSE CA,-21.03,Dining
DEBIT,06/01/2025,DOORDASH INC CA,-39.96,Dining
DEBIT,06/01/2025,STARBUCKS STORE 12847,-8.29,Dining
DEBIT,06/02/2025,COSTCO WHSE #0101,-187.94,Shopping
DEBIT,06/02/2025,H MART SAN JOSE,-77.73,Grocery
DEBIT,06/02/2025,OPENAI *CHATGPT,-20,Subscription
DEBIT,06/02/2025,TARGET T-3051,-41.58,Shopping
DEBIT,06/03/2025,SAFEWAY #1831,-39.47,Grocery
DEBIT,06/03/2025,UBER *EATS HELP.UBER.COM CA,-12.44,Dining
DEBIT,06/04/2025,APPLE STORE PALO ALTO,-172.11,Shopping
DEBIT,06/04/2025,DOORDASH INC CA,-17.32,Dining
DEBIT,06/04/2025,SAFEWAY #1831,-29.98,Grocery
DEBIT,06/05/2025,APPLE STORE PALO ALTO,-435.73,Shopping
DEBIT,06/05/2025,CHIPOTLE 1845 SAN JOSE CA,-14.7,Dining
DEBIT,06/05/2025,CHIPOTLE 1845 SAN JOSE CA,-14.21,Dining
DEBIT,06/05/2025,PG&E PAYMENT,-92.98,Utilities
DEBIT,06/07/2025,CHIPOTLE 1845 SAN JOSE CA,-21.71,Dining
DEBIT,06/07/2025,STARBUCKS STORE 10726,-9.31,Dining
DEBIT,06/07/2025,STARBUCKS STORE 12847,-5.83,Dining
DEBIT,06/07/2025,XFINITY INTERNET,-80,Utilities
DEBIT,06/08/2025,AMC THEATRES,-24.44,Entertainment
DEBIT,06/08/2025,LYFT,-18.85,Transport
DEBIT,06/08/2025,PANDA EXPRESS #221,-14.79,Dining
DEBIT,06/08/2025,STARBUCKS STORE 12847,-8.27,Dining
DEBIT,06/09/2025,H MART SAN JOSE,-107.56,Grocery
DEBIT,06/09/2025,TRADER JOE'S #123,-32.14,Grocery
DEBIT,06/10/2025,AT&T MOBILITY,-75,Utilities
DEBIT,06/11/2025,PANDA EXPRESS #221,-14.07,Dining
DEBIT,06/12/2025,STARBUCKS STORE 10726,-5.24,Dining
DEBIT,06/13/2025,STARBUCKS STORE 12847,-4.79,Dining
DEBIT,06/14/2025,H MART SAN JOSE,-108.99,Grocery
DEBIT,06/15/2025,BEST BUY #000123,-148.51,Shopping
DEBIT,06/15/2025,GOOGLE ONE,-2.99,Subscription
DEBIT,06/15/2025,UBER *EATS HELP.UBER.COM CA,-24.42,Dining
DEBIT,06/16/2025,AMZN.COM/BILL WA,-47.17,Shopping
DEBIT,06/16/2025,Amazon.com*8B0IP92E3,-24.81,Shopping
DEBIT,06/16/2025,BEST BUY #000123,-189.77,Shopping
DEBIT,06/17/2025,IN-N-OUT BURGER #52,-12.46,Dining
DEBIT,06/17/2025,Zelle payment to FRIEND 6,-51.91,Transfer
DEBIT,06/19/2025,AMZN.COM/BILL WA,-5.18,Shopping
DEBIT,06/20/2025,AMZN.COM/BILL WA,-25.36,Shopping
DEBIT,06/20/2025,IN-N-OUT BURGER #52,-15.36,Dining
DEBIT,06/20/2025,NIKE.COM,-143.8,Shopping
DEBIT,06/21/2025,STARBUCKS STORE 12847,-5.83,Dining
