Details,Posting Date,Description,Amount,Category
DEBIT,01/16/2025,CHEVRON GAS,-82.07,Transport
DEBIT,01/16/2025,SUSHI HOUSE INC,-24.96,Dining
DEBIT,01/17/2025,TONY'S PIZZA,-58.63,Dining
DEBIT,01/17/2025,UNIQLO LLC,-268.13,Shopping
DEBIT,01/17/2025,SQ *DAVE AND BUSTERS STORE 28961,-18.60,Entertainment
DEBIT,01/17/2025,sephora beauty,-81.34,Shopping
DEBIT,01/17/2025,SQ *SEPHORA BEAUTY INC,-307.53,Shopping
DEBIT,01/17/2025,ETSY SHOP LLC,-61.64,Shopping
DEBIT,01/17/2025,OLD NAVY INC,-16.18,Shopping
DEBIT,01/17/2025,SQ *REI OUTDOOR LLC,-437.51,Shopping
DEBIT,01/18/2025,CKCD TARGET STORE 53905,-408.68,Shopping
DEBIT,01/18/2025,SQ *ROUND TABLE PIZZA MOUNTAIN VIEW CA,-6.08,Dining
DEBIT,01/19/2025,PY *NIKE,-179.41,Shopping
DEBIT,01/19/2025,CKCD APPLE STORE,-80.38,Shopping
DEBIT,01/19/2025,DOORDASH STORE 65516,-39.27,Dining
DEBIT,01/19/2025,PAYPAL *MARRIOTT HOTELS #38677,-407.48,Travel
DEBIT,01/19/2025,SHAKE SHACK LLC,-6.97,Dining
DEBIT,01/19/2025,ONE MEDICAL CLINIC #58584,-66.81,Healthcare
DEBIT,01/19/2025,PY *GRUBHUB,-6.17,Dining
DEBIT,01/19/2025,PY *GREEN VALLEY GROCERY #19286,-56.94,Grocery
DEBIT,01/20/2025,POS DEBIT IKEA HOME,-16.40,Shopping
DEBIT,01/20/2025,SUSHI HOUSE LLC,-27.40,Dining
DEBIT,01/20/2025,WHOLE FOODS MARKET DALY CITY CA,-169.61,Grocery
DEBIT,01/20/2025,PAYPAL *SHAKE SHACK OAKLAND CA,-13.83,Dining
DEBIT,01/20/2025,CHEVRON GAS SAN FRANCISCO CA,-4.85,Transport
DEBIT,01/21/2025,paypal *five guys burgers.com,-51.88,Dining
DEBIT,01/21/2025,POS DEBIT TARGET #18288,-318.54,Shopping
DEBIT,01/21/2025,SPROUTS FARMERS MARKET SAN JOSE CA,-156.74,Grocery
DEBIT,01/21/2025,LULULEMON,-386.47,Shopping
DEBIT,01/22/2025,JOE'S CAFE LLC,-60.48,Dining
DEBIT,01/22/2025,PAYPAL *TAQUERIA EL SOL,-31.73,Dining
DEBIT,01/22/2025,AMC THEATRES LLC,-56.48,Entertainment
DEBIT,01/23/2025,SPROUTS FARMERS MARKET,-20.02,Grocery
DEBIT,01/23/2025,paypal *sunrise cafe inc,-7.40,Dining
DEBIT,01/23/2025,PY *ARCO GAS.COM,-84.44,Transport
DEBIT,01/23/2025,ROUND TABLE PIZZA STORE 74533,-10.25,Dining
DEBIT,01/24/2025,TST* PLAYSTATION STORE.COM,-43.12,Entertainment
DEBIT,01/24/2025,PY *TRADER JOES INC,-112.89,Grocery
DEBIT,01/24/2025,CKCD BAY AREA DENTAL FREMONT CA,-317.09,Healthcare
DEBIT,01/24/2025,POS DEBIT GREEN VALLEY GROCERY LLC,-25.37,Grocery
DEBIT,01/24/2025,CHIPOTLE INC,-14.83,Dining
DEBIT,01/24/2025,PAYPAL *PHILZ COFFEE,-37.14,Dining
DEBIT,01/24/2025,macys,-331.41,Shopping
DEBIT,01/25/2025,99 RANCH MARKET.COM,-105.58,Grocery
DEBIT,01/25/2025,BERKELEY BOWL MARKET,-203.32,Grocery
DEBIT,01/25/2025,PY *BEST BUY.COM,-36.65,Shopping
DEBIT,01/25/2025,TARGET.COM,-417.76,Shopping
DEBIT,01/25/2025,PANDA EXPRESS.COM,-27.52,Dining
DEBIT,01/25/2025,TST* WAYFAIR HOME STORE 30732,-335.12,Shopping
DEBIT,01/25/2025,PAYPAL *IKEA HOME.COM,-152.15,Shopping
DEBIT,01/25/2025,blaze pizza,-45.96,Dining
DEBIT,01/25/2025,STEAM GAMES #44928,-8.00,Entertainment
DEBIT,01/25/2025,UBER TRIP INC,-15.45,Transport
DEBIT,01/25/2025,REGAL CINEMAS,-8.01,Entertainment
DEBIT,01/26/2025,SHAKE SHACK,-56.69,Dining
DEBIT,01/26/2025,DAVE AND BUSTERS LLC,-59.73,Entertainment
DEBIT,01/26/2025,STUBHUB TICKETS.COM,-13.69,Entertainment
DEBIT,01/26/2025,POS DEBIT PEETS COFFEE,-15.55,Dining
DEBIT,01/26/2025,CHIPOTLE LLC,-42.20,Dining
DEBIT,01/26/2025,PEETS COFFEE STORE 57702,-61.41,Dining
DEBIT,01/26/2025,TRADER JOES LLC,-26.76,Grocery
DEBIT,01/26/2025,mollie stones market,-119.83,Grocery
DEBIT,01/26/2025,SUNRISE CAFE,-64.97,Dining
DEBIT,01/26/2025,BEST BUY INC,-22.27,Shopping
DEBIT,01/27/2025,SWEETGREEN SALADS OAKLAND CA,-42.52,Dining
DEBIT,01/27/2025,BLAZE PIZZA #38238,-61.96,Dining
DEBIT,01/27/2025,NINTENDO STORE 49574,-8.00,Entertainment
DEBIT,01/27/2025,LUCKY SUPERMARKET,-26.55,Grocery
DEBIT,01/27/2025,TST* SEPHORA BEAUTY.COM,-367.06,Shopping
DEBIT,01/27/2025,ckcd trader joes store 81866,-187.38,Grocery
DEBIT,01/28/2025,CKCD REI OUTDOOR,-216.74,Shopping
DEBIT,01/28/2025,STUBHUB TICKETS STORE 99169,-23.99,Entertainment
DEBIT,01/29/2025,CORNER CAFE,-7.12,Dining
DEBIT,01/29/2025,PANDA EXPRESS,-52.59,Dining
DEBIT,01/29/2025,POS DEBIT SWEETGREEN SALADS,-5.08,Dining
DEBIT,01/29/2025,TARGET,-28.29,Shopping
DEBIT,01/29/2025,tony's pizza,-41.77,Dining
DEBIT,01/30/2025,regal cinemas santa clara ca,-26.98,Entertainment
DEBIT,01/30/2025,SQ *NIJIYA MARKET,-21.42,Grocery
DEBIT,01/30/2025,NIKE.COM,-381.10,Shopping
DEBIT,01/30/2025,CORNER CAFE,-32.74,Dining
DEBIT,01/30/2025,DAVE AND BUSTERS,-39.18,Entertainment
DEBIT,01/30/2025,CKCD PHILZ COFFEE,-8.00,Dining
DEBIT,01/30/2025,STUBHUB TICKETS,-61.32,Entertainment
DEBIT,01/31/2025,H MART INC,-213.67,Grocery
DEBIT,01/31/2025,WALGREENS PHARMACY,-108.97,Healthcare
DEBIT,01/31/2025,CLIPPER TRANSIT.COM,-74.42,Transport
DEBIT,01/31/2025,ckcd thai kitchen llc,-5.24,Dining
DEBIT,01/31/2025,PY *BEST BUY LLC,-16.25,Shopping
DEBIT,01/31/2025,CKCD 99 RANCH MARKET SUNNYVALE CA,-103.42,Grocery
DEBIT,01/31/2025,RAMEN HOUSE #27831,-23.74,Dining
DEBIT,01/31/2025,SUNRISE CAFE,-5.21,Dining
DEBIT,01/31/2025,SUSHI HOUSE,-5.74,Dining
DEBIT,02/01/2025,CHEVRON GAS INC,-45.50,Transport
DEBIT,02/01/2025,SQ *SAFEWAY LLC,-117.24,Grocery
DEBIT,02/01/2025,YOUTUBE PREMIUM,-5.16,Subscription
DEBIT,02/02/2025,PAYPAL *AC TRANSIT OAKLAND CA,-10.00,Transport
DEBIT,02/02/2025,SQ *TARGET,-47.85,Grocery
DEBIT,02/02/2025,LUCKY SUPERMARKET SAN FRANCISCO CA,-94.49,Grocery
DEBIT,02/02/2025,PAYPAL TRANSFER STORE 87677,-811.13,Transfer
DEBIT,02/02/2025,POS DEBIT WHOLE FOODS MARKET INC,-18.04,Grocery
DEBIT,02/02/2025,VERIZON WIRELESS.COM,-90.67,Utilities
DEBIT,02/02/2025,NYTIMES DIGITAL LLC,-28.51,Subscription
DEBIT,02/02/2025,STUBHUB TICKETS #50751,-61.84,Entertainment
DEBIT,02/03/2025,BLUE BOTTLE COFFEE,-5.67,Dining
DEBIT,02/03/2025,HULU,-6.04,Subscription
DEBIT,02/03/2025,SPOTIFY.COM,-7.00,Subscription
DEBIT,02/03/2025,SUSHI HOUSE,-18.62,Dining
DEBIT,02/03/2025,AT&T WIRELESS.COM,-194.06,Utilities
DEBIT,02/03/2025,ADOBE CREATIVE SAN JOSE CA,-5.39,Subscription
DEBIT,02/03/2025,SQ *CHIPOTLE #77229,-7.24,Dining
DEBIT,02/03/2025,SUNRISE CAFE #27382,-17.54,Dining
DEBIT,02/03/2025,PAYPAL TRANSFER STORE 56602,-1181.21,Transfer
DEBIT,02/03/2025,POS DEBIT UNIQLO BERKELEY CA,-15.00,Shopping
DEBIT,02/03/2025,GITHUB INC,-24.28,Subscription
DEBIT,02/03/2025,COSTCO,-206.30,Grocery
DEBIT,02/04/2025,PY *AMAZON PRIME MEMBERSHIP,-6.93,Subscription
DEBIT,02/04/2025,CLIPPER TRANSIT.COM,-2.56,Transport
DEBIT,02/04/2025,RECOLOGY WASTE STORE 93064,-97.85,Utilities
DEBIT,02/04/2025,netflix,-7.50,Subscription
DEBIT,02/04/2025,SQ *UNIQLO LLC,-198.96,Shopping
DEBIT,02/04/2025,PAYPAL *EQUITY RESIDENTIAL RENT STORE 17386,-2709.81,Housing
DEBIT,02/04/2025,mollie stones market llc,-51.24,Grocery
DEBIT,02/04/2025,uber eats inc,-14.53,Dining
DEBIT,02/04/2025,POS DEBIT LULULEMON SANTA CLARA CA,-315.58,Shopping
DEBIT,02/04/2025,STEAM GAMES,-8.06,Entertainment
DEBIT,02/04/2025,CLIPPER TRANSIT STORE 27445,-35.20,Transport
DEBIT,02/05/2025,PANDA EXPRESS LLC,-11.08,Dining
DEBIT,02/05/2025,HOME DEPOT,-200.38,Shopping
DEBIT,02/05/2025,OPENAI CHATGPT.COM,-13.09,Subscription
DEBIT,02/05/2025,BLUE BOTTLE COFFEE LLC,-16.59,Dining
DEBIT,02/05/2025,PAYPAL *NORDSTROM INC,-157.06,Shopping
DEBIT,02/05/2025,TST* KAISER PERMANENTE INC,-48.40,Healthcare
DEBIT,02/06/2025,PAYPAL *UBER TRIP.COM,-23.78,Transport
DEBIT,02/06/2025,FIVE GUYS BURGERS INC,-44.11,Dining
DEBIT,02/06/2025,THAI KITCHEN INC,-56.43,Dining
DEBIT,02/06/2025,SEPHORA BEAUTY.COM,-52.83,Shopping
DEBIT,02/06/2025,TST* PG&E PAYMENT INC,-73.75,Utilities
DEBIT,02/06/2025,pos debit whole foods market store 54330,-164.60,Grocery
DEBIT,02/06/2025,TST* CASH APP,-1067.78,Transfer
DEBIT,02/06/2025,SUSHI HOUSE,-23.03,Dining
DEBIT,02/06/2025,PY *DISNEY PLUS #63226,-20.56,Subscription
DEBIT,02/06/2025,LULULEMON,-195.83,Shopping
DEBIT,02/07/2025,LENSCRAFTERS VISION,-59.36,Healthcare
DEBIT,02/07/2025,SMART FINAL FOODS,-35.12,Grocery
DEBIT,02/08/2025,ICLOUD STORAGE,-9.31,Subscription
DEBIT,02/08/2025,TARGET,-136.58,Shopping
DEBIT,02/08/2025,T-MOBILE WIRELESS,-209.13,Utilities
DEBIT,02/08/2025,POS DEBIT STEAM GAMES.COM,-29.93,Entertainment
DEBIT,02/08/2025,TST* NINTENDO LLC,-14.96,Entertainment
DEBIT,02/08/2025,CALTRAIN INC,-28.62,Transport
DEBIT,02/09/2025,AMC THEATRES INC,-83.07,Entertainment
DEBIT,02/09/2025,SPPLUS PARKING SAN FRANCISCO CA,-19.18,Transport
DEBIT,02/09/2025,PAYPAL *FOODS CO INC,-47.18,Grocery
DEBIT,02/09/2025,SQ *BART,-37.77,Transport
DEBIT,02/09/2025,online transfer,-614.73,Transfer
DEBIT,02/09/2025,RITE AID PHARMACY SANTA CLARA CA,-405.39,Healthcare
DEBIT,02/10/2025,UBER TRIP.COM,-12.27,Transport
DEBIT,02/10/2025,CKCD LYFT RIDE,-76.36,Transport
DEBIT,02/10/2025,SEPHORA BEAUTY INC,-446.48,Shopping
DEBIT,02/11/2025,UBER TRIP INC,-3.61,Transport
DEBIT,02/11/2025,PY *JOE'S CAFE,-31.87,Dining
DEBIT,02/11/2025,SUSHI HOUSE BERKELEY CA,-28.52,Dining
DEBIT,02/11/2025,UBER TRIP,-19.25,Transport
DEBIT,02/11/2025,REI OUTDOOR #71743,-41.67,Shopping
DEBIT,02/11/2025,IKEA HOME,-36.40,Shopping
DEBIT,02/12/2025,SQ *MOLLIE STONES MARKET DALY CITY CA,-146.27,Grocery
DEBIT,02/12/2025,CENTURY THEATRES.COM,-15.00,Entertainment
DEBIT,02/12/2025,POS DEBIT ETSY SHOP STORE 5649,-248.91,Shopping
DEBIT,02/12/2025,CKCD DAVE AND BUSTERS,-8.34,Entertainment
DEBIT,02/12/2025,AC TRANSIT,-14.53,Transport
DEBIT,02/13/2025,TST* TAQUERIA EL SOL INC,-30.33,Dining
DEBIT,02/13/2025,MOLLIE STONES MARKET,-174.09,Grocery
DEBIT,02/13/2025,CALTRAIN SAN JOSE CA,-80.33,Transport
DEBIT,02/14/2025,PARKING METER LLC,-7.22,Transport
DEBIT,02/14/2025,SQ *REGAL CINEMAS LLC,-19.70,Entertainment
DEBIT,02/14/2025,PY *CLIPPER TRANSIT MOUNTAIN VIEW CA,-22.74,Transport
DEBIT,02/14/2025,JOE'S CAFE #49592,-11.88,Dining
DEBIT,02/14/2025,MACYS STORE 85916,-55.37,Shopping
DEBIT,02/14/2025,99 RANCH MARKET.COM,-139.72,Grocery
DEBIT,02/15/2025,PHILZ COFFEE STORE 8783,-17.61,Dining
DEBIT,02/15/2025,BEST BUY,-132.03,Shopping
DEBIT,02/16/2025,PY *SMART FINAL FOODS.COM,-26.72,Grocery
DEBIT,02/16/2025,CORNER CAFE STORE 67444,-5.42,Dining
DEBIT,02/16/2025,BRIGHT SMILE DENTAL LLC,-227.39,Healthcare
DEBIT,02/16/2025,WALGREENS PHARMACY,-479.28,Healthcare
DEBIT,02/16/2025,TST* GREEN VALLEY GROCERY MOUNTAIN VIEW CA,-129.05,Grocery
DEBIT,02/16/2025,DOORDASH STORE 87798,-62.46,Dining
DEBIT,02/17/2025,H AND M,-225.33,Shopping
DEBIT,02/17/2025,PAYPAL *TARGET #73641,-389.94,Shopping
DEBIT,02/17/2025,BLAZE PIZZA STORE 56451,-7.70,Dining
DEBIT,02/17/2025,MACYS #26434,-183.66,Shopping
DEBIT,02/17/2025,TRADER JOES #88246,-90.46,Grocery
DEBIT,02/17/2025,PAYPAL *ARCO GAS,-20.00,Transport
DEBIT,02/17/2025,PY *SUNRISE CAFE,-9.03,Dining
DEBIT,02/17/2025,CKCD LUCKY SUPERMARKET FREMONT CA,-35.96,Grocery
DEBIT,02/17/2025,NORDSTROM,-73.30,Shopping
DEBIT,02/17/2025,PHILZ COFFEE STORE 59499,-14.56,Dining
DEBIT,02/18/2025,TAQUERIA EL SOL #90273,-37.52,Dining
DEBIT,02/18/2025,GRUBHUB INC,-38.27,Dining
DEBIT,02/18/2025,PAYPAL *MOLLIE STONES MARKET,-173.03,Grocery
DEBIT,02/18/2025,PAYPAL *GRUBHUB,-58.19,Dining
DEBIT,02/19/2025,PAYPAL *GROCERY OUTLET #11381,-56.23,Grocery
DEBIT,02/19/2025,POS DEBIT PANDA EXPRESS STORE 71748,-60.08,Dining
DEBIT,02/19/2025,expedia travel #26477,-306.06,Travel
DEBIT,02/19/2025,ONLINE TRANSFER DALY CITY CA,-1013.53,Transfer
DEBIT,02/19/2025,PY *UBER EATS STORE 82417,-8.78,Dining
DEBIT,02/20/2025,POS DEBIT HILTON HOTELS LLC,-618.91,Travel
DEBIT,02/20/2025,PY *UBER EATS STORE 30489,-21.61,Dining
DEBIT,02/20/2025,SQ *REI OUTDOOR,-156.47,Shopping
DEBIT,02/20/2025,TST* TAQUERIA EL SOL LLC,-45.11,Dining
DEBIT,02/20/2025,SMART FINAL FOODS STORE 37830,-24.96,Grocery
DEBIT,02/20/2025,CKCD GREEN VALLEY GROCERY LLC,-49.11,Grocery
DEBIT,02/21/2025,berkeley bowl market,-112.71,Grocery
DEBIT,02/21/2025,SQ *REGAL CINEMAS DALY CITY CA,-40.03,Entertainment
DEBIT,02/21/2025,TST* UNIQLO LLC,-31.59,Shopping
DEBIT,02/21/2025,paypal *etsy shop,-303.53,Shopping
DEBIT,02/21/2025,H AND M,-59.70,Shopping
DEBIT,02/21/2025,H AND M INC,-414.64,Shopping
DEBIT,02/21/2025,IKEA HOME.COM,-21.77,Shopping
DEBIT,02/21/2025,UBER TRIP.COM,-23.27,Transport
DEBIT,02/21/2025,CKCD TRADER JOES FREMONT CA,-21.53,Grocery
DEBIT,02/22/2025,POS DEBIT COSTCO,-117.16,Grocery
DEBIT,02/22/2025,PAYPAL *SMART FINAL FOODS INC,-22.80,Grocery
DEBIT,02/22/2025,TST* VALVOLINE OIL OAKLAND CA,-9.93,Transport
DEBIT,02/22/2025,CLIPPER TRANSIT INC,-79.07,Transport
DEBIT,02/22/2025,RAMEN HOUSE INC,-21.72,Dining
DEBIT,02/22/2025,TST* RAMEN HOUSE MOUNTAIN VIEW CA,-45.89,Dining
DEBIT,02/22/2025,RAMEN HOUSE,-30.56,Dining
DEBIT,02/22/2025,TST* CENTURY THEATRES STORE 19487,-8.15,Entertainment
DEBIT,02/23/2025,MOLLIE STONES MARKET #13145,-36.66,Grocery
DEBIT,02/23/2025,CKCD GRUBHUB,-26.72,Dining
DEBIT,02/23/2025,CORNER CAFE LLC,-5.18,Dining
DEBIT,02/23/2025,CENTURY THEATRES,-58.44,Entertainment
DEBIT,02/23/2025,POS DEBIT CORNER CAFE LLC,-44.78,Dining
DEBIT,02/23/2025,SQ *CHEVRON GAS SANTA CLARA CA,-43.47,Transport
DEBIT,02/24/2025,TARGET STORE 12621,-110.95,Shopping
DEBIT,02/24/2025,SAFEWAY STORE 52695,-175.71,Grocery
DEBIT,02/24/2025,VALVOLINE OIL STORE 34695,-26.02,Transport
CREDIT,02/24/2025,WIRE TRANSFER,1413.48,Transfer
DEBIT,02/24/2025,SUNRISE CAFE INC,-40.61,Dining
DEBIT,02/24/2025,PLAYSTATION STORE SAN FRANCISCO CA,-73.88,Entertainment
DEBIT,02/25/2025,TST* TICKETMASTER EVENTS,-8.64,Entertainment
DEBIT,02/25/2025,COSTCO.COM,-310.11,Shopping
DEBIT,02/25/2025,HOME DEPOT,-417.70,Shopping
DEBIT,02/25/2025,GROCERY OUTLET,-24.73,Grocery
DEBIT,02/26/2025,MACYS STORE 97487,-17.27,Shopping
DEBIT,02/26/2025,SUSHI HOUSE #15506,-11.60,Dining
DEBIT,02/26/2025,BLUE BOTTLE COFFEE #75460,-12.16,Dining
DEBIT,02/26/2025,PY *ONLINE TRANSFER #48180,-434.04,Transfer
DEBIT,02/26/2025,PY *PLAYSTATION STORE STORE 45531,-33.06,Entertainment
DEBIT,02/26/2025,BAYVIEW GRILL,-55.83,Dining
DEBIT,02/27/2025,LENSCRAFTERS VISION,-329.21,Healthcare
DEBIT,02/27/2025,FIVE GUYS BURGERS LLC,-28.59,Dining
DEBIT,02/28/2025,SEPHORA BEAUTY INC,-99.99,Shopping
DEBIT,02/28/2025,COSTCO INC,-17.13,Shopping
DEBIT,03/01/2025,CLIPPER TRANSIT LLC,-15.05,Transport
DEBIT,03/01/2025,LULULEMON,-355.20,Shopping
DEBIT,03/01/2025,valvoline oil #67508,-68.72,Transport
DEBIT,03/01/2025,PAYPAL *LULULEMON.COM,-337.29,Shopping
DEBIT,03/01/2025,HOME DEPOT.COM,-304.02,Shopping
DEBIT,03/01/2025,POS DEBIT IN-N-OUT BURGER,-40.87,Dining
DEBIT,03/01/2025,TARGET #31537,-301.99,Shopping
DEBIT,03/01/2025,CENTURY THEATRES INC,-16.34,Entertainment
DEBIT,03/02/2025,CKCD ETSY SHOP INC,-101.59,Shopping
DEBIT,03/02/2025,AC TRANSIT INC,-81.33,Transport
DEBIT,03/02/2025,GITHUB,-22.61,Subscription
DEBIT,03/02/2025,WIRE TRANSFER.COM,-641.45,Transfer
DEBIT,03/02/2025,CKCD CHIPOTLE INC,-5.64,Dining
CREDIT,03/02/2025,PAYPAL TRANSFER INC,744.47,Transfer
DEBIT,03/03/2025,YOUTUBE PREMIUM STORE 94622,-12.56,Subscription
